YEAR,MO,DY,Temp_Max,Temp_Min,PRECTOTCORR
2020,8,29,41.19,24.91,0.0
2020,8,30,41.25,26.05,0.0
2020,8,31,41.92,25.53,0.0
2020,9,1,41.29,25.79,0.0
2020,9,2,40.79,27.31,0.0
2020,9,3,41.13,25.83,0.0
2020,9,4,42.67,27.85,0.0
2020,9,5,41.78,26.3,0.0
2020,9,6,41.37,26.04,0.0
2020,9,7,40.18,24.15,0.0
2020,9,8,40.76,26.48,0.0
2020,9,9,42.07,26.46,0.0
2020,9,10,42.3,25.58,0.0
2020,9,11,42.24,27.29,0.0
2020,9,12,41.83,25.44,0.0
2020,9,13,40.87,27.46,0.0
2020,9,14,41.15,29.63,0.0
2020,9,15,42.02,28.63,0.0
2020,9,16,41.38,24.83,0.0
2020,9,17,40.55,24.44,0.0
2020,9,18,39.87,25.69,0.0
2020,9,19,40.17,27.13,0.0
2020,9,20,40.58,24.47,0.0
2020,9,21,39.89,23.85,0.0
2020,9,22,39.83,22.31,0.0
2020,9,23,40.66,22.62,0.0
2020,9,24,40.69,25.0,0.0
2020,9,25,39.49,23.57,0.0
2020,9,26,39.88,26.21,0.0
2020,9,27,40.26,23.77,0.0
2020,9,28,38.94,22.92,0.0
2020,9,29,37.93,22.21,0.0
2020,9,30,37.89,22.21,0.0
2020,10,1,38.0,24.35,0.0
2020,10,2,39.08,23.19,0.0
2020,10,3,38.13,22.18,0.0
2020,10,4,36.96,23.01,0.0
2020,10,5,38.63,24.16,0.0
2020,10,6,39.06,24.26,0.0
2020,10,7,37.73,22.12,0.0
2020,10,8,36.51,20.51,0.0
2020,10,9,35.22,18.81,0.0
2020,10,10,33.93,17.73,0.0
2020,10,11,32.17,16.58,0.0
2020,10,12,32.62,16.66,0.0
2020,10,13,32.81,16.98,0.0
2020,10,14,33.17,16.96,0.0
2020,10,15,34.02,18.42,0.0
2020,10,16,32.61,17.4,0.0
2020,10,17,32.0,18.7,0.0
2020,10,18,32.21,18.86,0.0
